121, 82, 91, 46, 21, 2, 94, 13, 78, 74, 64, 93, 76,
49, 66, 113, 126, 132, 3, 100, 68, 20, 115, 99, 124, 102,
83, 34, 109, 10, 25, 58, 96, 90, 144, 26, 32, 22, 24,
131, 88, 97, 38, 31, 87, 134, 54, 17, 122, 40, 50, 61,
42, 36, 123, 51, 56, 44, 4, 5, 15, 125, 106, 95, 143,
147, 79, 139, 130, 60, 112, 116, 133, 35, 137, 8, 80, 84,
105, 118, 62, 39, 85, 63, 117, 72, 14, 92, 71, 43, 140,
67, 12, 69, 11, 110, 108, 145, 57, 114, 138, 127, 128, 65,
52, 141, 81, 86, 53, 136, 75, 55, 47, 129, 120, 41, 0,
73, 9, 104, 89, 28, 1, 16, 148, 29, 77, 149, 18, 111,
59, 37, 101, 33, 119, 19, 23, 45, 107, 6, 30, 70, 142,
7, 27, 135, 146, 98, 103, 48
